month,carrier,origin,arr_delay
1,UA,EWR,12
1,AA,LGA,8
1,AA,LGA,14
1,AA,LGA,4
1,UA,LGA,20
1,UA,EWR,21
1,AA,LGA,0
1,AA,LGA,3
1,UA,EWR,3
1,UA,LGA,13
1,AA,LGA,0
1,AA,LGA,11
1,UA,EWR,21
1,AA,LGA,0
1,UA,LGA,7
1,AA,LGA,19
1,UA,EWR,60
1,UA,LGA,11
1,UA,EWR,14
1,AA,LGA,0
1,UA,LGA,17
1,UA,EWR,46
1,UA,LGA,4
1,UA,EWR,15
1,AA,LGA,4
1,UA,LGA,16
1,UA,EWR,16
1,AA,LGA,10
1,UA,EWR,37
1,AA,LGA,3
1,UA,LGA,32
1,AA,LGA,0
1,UA,LGA,2
1,AA,LGA,0
1,UA,LGA,12
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,1
1,UA,LGA,12
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,171
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,21
1,AA,LGA,10
1,UA,EWR,0
1,AA,LGA,2
1,UA,EWR,19
1,AA,LGA,2
1,UA,EWR,13
1,UA,LGA,3
1,AA,LGA,20
1,UA,LGA,5
1,AA,LGA,0
1,UA,EWR,45
1,UA,LGA,12
1,UA,EWR,19
1,AA,LGA,32
1,AA,LGA,28
1,UA,LGA,24
1,AA,LGA,0
1,UA,EWR,NA
1,AA,LGA,0
1,UA,EWR,15
1,UA,LGA,23
1,UA,EWR,0
1,AA,LGA,167
1,UA,EWR,0
1,UA,LGA,1
1,AA,LGA,133
1,AA,LGA,102
1,UA,LGA,0
1,AA,LGA,97
1,AA,LGA,14
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,9
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,21
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,5
1,AA,LGA,0
1,UA,EWR,10
1,AA,LGA,45
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,NA
1,AA,LGA,NA
1,AA,LGA,0
